district,facility_number,address,hours_requiring_payment,payment_options,floors,clearance_height_(feet),clearance_height_(inches),facility_name,total_capacity,ada_spaces,ada_van_spaces,bike_spaces,car_spaces,motorcycle_spaces,motorcycle_area,other_information,latitude,longitude,5_minute_limit,30_minute_limit,1_hour_limit,2_hour_limit,3_hour_limit,4_hour_limit,9_hour_limit,12_hour_limit,15_hour_limit,parking_convenience_stickers,carpool,restricted,inactive,additional_information,last_update,location
Bethesda,LOT 08,4835 Cordell Avenue,7:00AM-10:00PM Monday through Friday,Coins,0,0,0,Lot 8,11,0,1,0,10,0,0,,38.98934,-77.09724,0,0,0,10,0,0,0,0,0,0,0,10,False,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,05/18/2022,POINT (38.98934 -77.09724)
Wheaton,LOT 13,11219 Grandview Avenue,9:00AM-6:00PM Monday through Saturday,Coins,0,0,0,Wheaton Market Place Lot,50,1,3,0,45,1,0,,39.03933,-77.05211,0,0,0,41,0,0,0,0,0,0,0,41,False,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,05/18/2022,POINT (39.03933 -77.05211)
Silver Spring,GAR 55,1100 Bonifant Street,7:00AM-7:00PM Monday through Friday,Coins,7,6,7,Garage 55,1130,0,23,0,1097,10,0,,38.99322,-77.02801,0,0,0,107,0,0,0,0,625,359,0,732,False,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,05/18/2022,POINT (38.99322 -77.02801)
Bethesda,GAR 11,7730 Woodmont Ave (7661 Old Gerorgetown Road),7:00AM-10:00PM Monday through Friday,"Bills, Credit Cards",5,6,8,Woodmont Corner Garage,1125,19,3,6,1089,0,8,,38.98735,-77.09663,0,0,0,98,0,2,0,6,963,14,6,1069,False,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,05/18/2022,POINT (38.98735 -77.09663)
Bethesda,GAR 42,4720 Cheltenham Drive (Cashier Office Location),7:00AM-10:00PM Monday through Friday,"Credit Cards, Coins",4,8,2,Cheltenham Garage,357,6,2,5,337,0,7,,38.98813,-77.09394,0,0,0,37,0,0,0,0,298,0,0,335,False,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,05/18/2022,POINT (38.98813 -77.09394)
Bethesda,LOT 28,4854 Cordell Avenue,7:00AM-10:00PM Monday through Friday,Coins,0,0,0,Cordell Avenue,21,0,2,0,19,0,0,,38.98995,-77.09734,0,0,0,19,0,0,0,0,0,0,0,19,False,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,05/18/2022,POINT (38.98995 -77.09734)
Silver Spring,LOT 02,8781 Georgia Avenue (1200 Spring Avenue),7:00AM-7:00PM Monday through Friday,Coins,0,0,0,Spring - Cameron Lot,6,1,1,0,3,1,0,,39.00003,-77.02985,0,0,0,0,0,0,0,0,0,0,0,0,False,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,05/18/2022,POINT (39.00003 -77.02985)
Bethesda,GAR 31,7171 Woodmont Avenue,7:00AM-10:00PM Monday through Friday,"Bills, Credit Cards",4,8,2,Capital Crescent Garage,1028,18,7,11,964,25,0,,38.98031,-77.094971,0,0,0,55,0,6,0,0,900,0,0,961,False,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,05/18/2022,POINT (38.98031 -77.094971)
Silver Spring,LOT 20,8212 Colonial Lane,7:00AM-7:00PM Monday through Friday,Coins,0,0,0,Colonial Lane Lot,3,0,1,0,2,0,0,,38.99173,-77.02775,0,0,0,0,0,0,0,0,0,0,0,0,False,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,05/18/2022,POINT (38.99173 -77.02775)
Bethesda,LOT 10,4600 Leland Street (Walsh Street),7:00AM-10:00PM Monday through Friday,Coins,0,0,0,Leland Street Lot,101,4,1,0,94,2,0,,38.97987,-77.09108,0,0,19,0,24,0,0,0,51,0,0,94,False,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,05/18/2022,POINT (38.97987 -77.09108)
Silver Spring,GAR 58,1315 East-West Highway,7:00AM-7:00PM Monday through Friday,"Bills, Credit Cards",8,7,2,NOAA Garage,1176,24,0,10,1132,4,6,,38.99272,-77.03094,0,0,0,0,48,0,0,41,672,395,41,761,False,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,05/18/2022,POINT (38.99272 -77.03094)
Bethesda,LOT 81,7400 Arlington Road,7:00AM-7:00PM Monday through Friday,Coins,0,0,0,Lot 81,120,5,0,0,113,2,0,,38.98401,-77.09885,0,0,0,0,92,0,0,0,0,0,0,92,False,http://www6.montgomerycountymd.gov/dpktmpl.asp?url=/content/DOT/parking/index.asp,05/18/2022,POINT (38.98401 -77.09885)
